Date,001M,002M,003M,006M,009M,012M,018M,024M,036M,048M,060M,084M,120M,180M,240M,300M,360M
20070101,5.149760916,5.080500797,5.116758892,5.101547396,5.118113652,5.009010476,4.88045513,4.811575336,4.727199244,4.697019718,4.689860651,4.689468408,4.705387217,4.739908167,4.774430673,4.797630919,4.809736113
20070102,5.451227013,5.227717293,5.08735502,5.050117889,5.068343554,4.968770808,4.856429113,4.806342352,4.705050471,4.676302193,4.66960056,4.669656895,4.682147937,4.715701575,4.749764878,4.773601382,4.785331708
20070103,5.283515977,5.138072666,5.088074233,5.092883576,5.077623365,4.965366114,4.855207459,4.767058401,4.67251595,4.652264842,4.648386982,4.652096624,4.660393122,4.694007155,4.727878073,4.752008542,4.763874168
20070104,5.107468195,5.041965014,5.077560965,5.053719803,5.054209213,4.952816137,4.787750392,4.693781158,4.607565259,4.589839737,4.587861483,4.592507131,4.604392739,4.638832967,4.672701605,4.696492878,4.708450926
20070105,5.232913991,5.176261858,5.260681909,5.157880874,5.135440044,4.986601681,4.829259352,4.750288469,4.659182359,4.643782319,4.635822673,4.634440872,4.646899081,4.677596087,4.706771801,4.728168764,4.73892088
20070108,5.133373612,5.061754402,5.099462221,5.093625695,5.106196114,4.990508634,4.849943737,4.774752054,4.684050529,4.6561026,4.647750777,4.645748294,4.653828364,4.680024197,4.706650919,4.724539647,4.733918615
20070109,5.487451755,5.252555522,5.118943217,5.125781659,5.141218591,5.021339477,4.871633279,4.8030614,4.691130384,4.657475919,4.647717417,4.645576776,4.65590077,4.682420203,4.709808447,4.729017282,4.738417718
20070110,5.326977674,5.180271163,5.130005249,5.107576358,5.122343977,5.01086595,4.878514295,4.813747895,4.711225939,4.679923452,4.668926926,4.67367813,4.686031635,4.71588269,4.744645222,4.765018422,4.775057404
20070111,5.172482015,5.102999417,5.140461227,5.128146687,5.148655233,5.067244959,4.932739022,4.850298541,4.75931765,4.727406118,4.715357691,4.718502936,4.732329127,4.761276857,4.789099247,4.808529208,4.818325444
20070112,5.338095145,5.283040723,5.305772048,5.212420533,5.203968456,5.079919939,4.940253298,4.874258652,4.807428257,4.771868879,4.757123045,4.75905891,4.77791898,4.806949179,4.833639679,4.850896559,4.860270168
20070115,5.164938675,5.092871298,5.130898801,5.125811922,5.150514645,5.047945113,4.932130045,4.874499873,4.80754871,4.771927643,4.757132023,4.759075393,4.777963705,4.806987055,4.83366354,4.850909928,4.860278167
20070116,5.666777482,5.266691672,5.131172155,5.125099552,5.146507624,5.040702566,4.919061298,4.875473204,4.779181103,4.744052487,4.729764681,4.732226578,4.748710407,4.780361567,4.810185344,4.830848224,4.840980001
20070117,5.518419799,5.200126106,5.15085916,5.139375351,5.168155095,5.069935147,4.959281752,4.911335142,4.810716324,4.776484902,4.765460406,4.771271951,4.78101198,4.811045259,4.840643006,4.861164312,4.871192397
20070118,5.359994312,5.124947921,5.161432275,5.13878351,5.159685211,5.094468779,4.953319877,4.880054797,4.782803135,4.750158626,4.736722141,4.73688523,4.74465189,4.775585177,4.807167052,4.829695928,4.840655826
20070119,5.327394663,5.274723884,5.357255807,5.233558254,5.205745375,5.09304554,4.969366565,4.906665,4.818238063,4.791991715,4.774688191,4.767961346,4.777667561,4.805214776,4.832376069,4.852438923,4.862398932
20070122,5.203976415,5.136834148,5.171869694,5.146714368,5.169705908,5.069271123,4.957570184,4.897669896,4.813828834,4.775350269,4.758001203,4.752477986,4.760546257,4.788734911,4.817937991,4.837618174,4.847767371
20070123,5.554759008,5.316884158,5.181841645,5.189818374,5.219734419,5.115263442,4.994516666,4.944446295,4.846855098,4.813162123,4.801449824,4.798790755,4.809467887,4.840597896,4.872705971,4.895128733,4.906000346
20070124,5.370446223,5.222476383,5.171944852,5.150052057,5.17886707,5.08313423,4.978836155,4.929664424,4.837129214,4.808628418,4.797767968,4.800178466,4.809517732,4.842487224,4.875391686,4.898698448,4.910027176
20070125,5.212723596,5.145697728,5.18240547,5.160060465,5.193573565,5.129904165,5.02632057,4.961354494,4.893831537,4.871312873,4.863084177,4.865085663,4.874874462,4.905107266,4.935126403,4.956117062,4.966551037
20070126,5.317319894,5.261291602,5.347411583,5.24498185,5.227982415,5.122319848,5.010565761,4.959276999,4.900253644,4.882466649,4.868541463,4.864660793,4.875884651,4.907724612,4.938422601,4.960822459,4.971907256
20070129,5.204139844,5.135600117,5.172338116,5.157820567,5.191990249,5.101389684,5.008561604,4.966499856,4.921688701,4.895594064,4.883762196,4.881965866,4.89142611,4.925475084,4.959727039,4.982743013,4.994507387
20070130,5.208572137,5.34217575,5.17654123,5.173791045,5.216168786,5.108314251,5.000653101,4.962245889,4.892909633,4.869247824,4.862184337,4.861065703,4.871056197,4.905610542,4.941054449,4.965737375,4.977659938
20070131,5.093774679,5.230109799,5.122588268,5.128762965,5.167945279,5.063922334,4.961443266,4.914007287,4.832362924,4.809367414,4.801394098,4.803025751,4.809680449,4.841298596,4.873359618,4.89612088,4.907121796
20070201,5.104511078,5.153262551,5.1330045,5.13878351,5.183828395,5.113794667,5.014488095,4.949544674,4.874969989,4.848431119,4.837092733,4.832456661,4.83618768,4.865327031,4.896502373,4.918553387,4.929355583
20070202,5.233104071,5.305274489,5.387157742,5.222691778,5.207430501,5.09094179,4.978396744,4.923109324,4.85048676,4.83138127,4.817772432,4.812654965,4.822977515,4.855498398,4.887279947,4.910473886,4.92188227
20070205,5.114533488,5.166455235,5.200742023,5.135997643,5.169467644,5.062902428,4.958847137,4.905902016,4.840281845,4.810288159,4.797590865,4.794500027,4.803745911,4.837689662,4.872085681,4.895250095,4.907029399
20070206,5.131437122,5.354265319,5.158852533,5.174045224,5.202757133,5.081124711,4.949111853,4.892676229,4.797994761,4.765424126,4.754776692,4.754197367,4.767261652,4.80058739,4.834023746,4.857248075,4.868464008
20070207,5.127757185,5.276313387,5.164962948,5.139620942,5.159024584,5.038585457,4.914356276,4.861222677,4.778953548,4.743021593,4.7260235,4.730241501,4.745058488,4.781332662,4.816170637,4.840646871,4.852517324
20070208,5.128405043,5.188181602,5.164627909,5.13878351,5.1599657,5.068348556,4.939100877,4.863479264,4.781800374,4.744139518,4.725956474,4.72302186,4.733726628,4.76750862,4.802710057,4.827594271,4.83985182
20070209,5.242057592,5.317373025,5.397568564,5.222320521,5.214998525,5.070062089,4.944153814,4.887204075,4.816968248,4.792113269,4.774399235,4.770438447,4.783055384,4.8087768,4.833754896,4.852759471,4.863757375
20070212,5.141516536,5.200235046,5.231405463,5.146225687,5.173625989,5.06436253,4.960211398,4.912162337,4.855548868,4.817108215,4.800790839,4.797234754,4.805961501,4.830895906,4.857399863,4.875024674,4.8858992
20070213,5.14959701,5.377138561,5.180032324,5.184799458,5.214706114,5.096906393,4.975988276,4.939148523,4.856996261,4.818462895,4.804447863,4.800613856,4.809957797,4.837055695,4.866744506,4.887784879,4.899622611
20070214,5.12527669,5.277567197,5.165186347,5.129028378,5.147386759,5.029168826,4.909423628,4.864388855,4.77671019,4.737782781,4.721901101,4.726712115,4.737866318,4.768424224,4.799363353,4.82149381,4.834008432
20070215,5.133979768,5.201029475,5.17528429,5.128146687,5.137233959,5.049465935,4.89640485,4.824584003,4.739976864,4.705326972,4.68975209,4.694141964,4.708120169,4.739555383,4.770580828,4.793175176,4.805983815
20070216,5.320649826,5.410718487,5.419108277,5.210561087,5.181547816,5.032319786,4.876706183,4.806791347,4.735447904,4.697404188,4.677121311,4.674274687,4.691109545,4.722366969,4.753161841,4.774833932,4.787805211
20070219,5.145760944,5.214391291,5.240504763,5.124005812,5.128535878,5.000755295,4.868630417,4.807161224,4.73550012,4.697421524,4.677153268,4.674294818,4.691110495,4.722363503,4.753160025,4.774834234,4.78780657
